Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,169.37999999999997,2032.56,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),AWS S3 Storage,S3 Standard,0,47.8,573.60,USD,,"S3 Standard storage (2 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (100000), GET, SELECT, and all other requests from S3 Standard (500000), Data returned by S3 Select (0 GB per month), Data scanned by S3 Select (0 GB per month)"
My Estimate,US East (N. Virginia),AWS S3 Storage,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,71.37648,856.52,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (r5.4xlarge), Pricing strategy (On-Demand Utilization: 9.7 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),VPC Service,AWS PrivateLink,0,23.4,280.80,USD,,Number of VPC Interface endpoints per AWS region (3)
My Estimate,US East (N. Virginia),,DynamoDB on-demand capacity,0,0.01,0.12,USD,,"Table class (Standard), Average item size (all attributes) (1 KB), Data storage size (0.025 GB)"
My Estimate,US East (N. Virginia),,AWS DataSync,0,18.75,225.00,USD,,"Choose a DataSync Task Mode (Basic), Total data copied by AWS DataSync per month (1500 GB)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,3.04,36.48,USD,,"Number of Metrics (includes detailed and custom metrics) (10), GetMetricData: Number of metrics requested (1000), GetMetricWidgetImage: Number of metrics requested (1000), Number of other API requests (1000)"
My Estimate,US East (N. Virginia),,Amazon Elastic Container Registry,0,5,60.00,USD,,"DT Inbound: Internet (0 GB per month), DT Outbound: Not selected (0 TB per month), Amount of data stored (50 GB per month)"
My Estimate,US East (N. Virginia),,Amazon EventBridge,0,0,0.00,USD,,"Size of the payload (1 KB), Number of AWS management events (0 per month), Number of custom events (1000 per month)"
My Estimate,US East (N. Virginia),,Standard topics,0,0,0.00,USD,,"Requests (1000 per month), EMAIL/EMAIL-JSON Notifications (100 per month)"
My Estimate,US East (N. Virginia),,AWS Lambda,0,0,0.00,USD,,"Architecture (x86), Architecture (x86), Invoke Mode (Buffered), Amount of ephemeral storage allocated (512 MB), Number of requests (1000 per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
